north,north_west,north_east,south,west,east,action,lap
100,53,62,100,32,37,accelerate,1
100,53,62,100,32,37,accelerate,1
100,53,62,100,32,37,accelerate,1
100,52,63,100,32,39,accelerate,1
100,54,62,100,32,37,accelerate,1
100,54,62,100,32,37,accelerate,1
100,53,65,100,32,39,accelerate,1
100,53,65,100,32,39,accelerate,1
100,53,63,100,32,37,accelerate,1
100,52,65,100,32,39,accelerate,1
100,52,65,100,32,39,accelerate,1
100,52,65,100,32,39,accelerate,1
100,53,63,100,32,37,accelerate,1
100,53,63,100,32,37,accelerate,1
100,53,63,100,32,37,accelerate,1
100,52,63,100,32,39,accelerate,1
100,53,65,100,32,39,accelerate,1
100,53,63,100,32,37,accelerate,1
100,53,63,100,33,37,accelerate,1
100,52,65,100,32,39,accelerate,1
100,53,63,100,32,37,accelerate,1
100,52,64,100,32,39,accelerate,1
100,53,65,100,30,39,accelerate,1
100,53,63,100,32,37,accelerate,1
100,52,65,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,52,65,100,32,39,accelerate,1
100,53,66,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,53,64,100,32,37,accelerate,1
100,54,63,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,53,65,100,32,39,accelerate,1
100,52,65,100,32,39,accelerate,1
100,54,65,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,53,65,100,32,39,accelerate,1
100,54,63,100,32,39,accelerate,1
100,52,66,100,32,40,accelerate,1
100,52,66,100,32,40,accelerate,1
100,52,66,100,32,39,accelerate,1
100,53,66,100,32,39,accelerate,1
100,52,66,100,32,39,accelerate,1
100,53,65,100,32,39,accelerate,1
100,52,67,100,32,40,accelerate,1
100,51,67,100,32,40,accelerate,1
100,52,66,100,32,39,accelerate,1
100,54,66,100,32,39,accelerate,1
100,58,62,100,32,39,accelerate+rotRight,1
100,65,56,100,33,39,accelerate+rotRight,1
100,59,61,100,33,38,accelerate+rotLeft,1
100,53,65,100,33,39,accelerate+rotLeft,1
100,49,68,100,33,39,accelerate+rotLeft,1
100,49,68,100,32,39,accelerate,1
100,49,66,100,32,40,accelerate,1
100,50,65,100,33,39,accelerate,1
100,50,65,100,30,42,accelerate,1
100,100,63,100,31,42,accelerate,1
100,100,61,100,31,40,accelerate,1
99,100,61,100,30,42,accelerate,1
95,100,59,100,30,42,accelerate,1
91,100,58,100,30,43,accelerate,1
87,100,56,100,29,42,accelerate,1
83,100,54,100,29,42,accelerate,1
79,100,53,100,28,42,accelerate,1
79,100,50,100,29,41,accelerate+rotLeft,1
79,100,51,100,29,42,accelerate+rotLeft,1
