north,north_west,north_east,south,west,east,west_north_front,east_north_front,west_north,east_north,south_west,south_east,action,lap
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,62,54,100,38,32,100,92,43,37,62,54,accelerate,1
100,57,59,100,38,33,92,100,42,39,69,49,accelerate+rotLeft,1
100,53,67,100,38,33,78,100,40,41,77,46,accelerate+rotLeft,1
100,50,77,100,38,33,69,100,39,43,88,43,accelerate+rotLeft,1
100,48,79,100,37,34,67,100,38,45,86,44,accelerate,1
100,48,79,100,37,34,67,100,38,45,86,44,accelerate,1
100,48,79,100,37,34,67,100,38,45,86,44,accelerate,1
100,47,81,100,36,35,66,100,37,46,84,46,accelerate,1
100,47,81,100,36,35,66,100,37,46,84,46,accelerate,1
100,47,81,100,36,35,66,100,37,46,84,46,accelerate,1
100,49,73,100,35,36,72,100,37,45,71,50,accelerate+rotRight,1
100,52,65,100,35,36,100,100,38,43,63,54,accelerate+rotRight,1
100,56,60,100,35,36,100,93,39,41,59,58,accelerate+rotRight,1
100,56,60,100,35,36,100,91,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,90,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,90,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,90,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,90,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,87,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,86,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,84,39,41,59,58,accelerate,1
100,56,60,100,35,36,100,82,39,41,59,58,accelerate,1
100,51,65,100,35,36,100,87,38,43,65,53,accelerate+rotLeft,1
100,46,71,100,34,37,100,91,36,47,71,51,accelerate+rotLeft,1
100,44,75,100,34,37,100,97,35,50,82,48,accelerate+rotLeft,1
100,42,75,100,33,38,100,96,34,51,80,49,accelerate,1
100,42,72,100,33,38,100,93,34,51,80,49,accelerate,1
100,41,72,100,32,39,100,92,33,52,77,50,accelerate,1
100,40,72,100,31,41,100,91,32,54,75,52,accelerate,1
100,48,67,100,31,40,100,83,33,51,65,55,accelerate+rotRight,1
100,100,63,100,31,40,100,78,33,49,59,58,accelerate+rotRight,1
96,100,60,100,31,40,100,73,34,46,53,63,accelerate+rotRight,1
93,100,58,100,31,40,100,70,34,46,53,63,accelerate,1
91,100,58,100,30,41,100,70,33,46,51,64,accelerate,1
88,100,56,100,30,41,100,67,34,46,51,64,accelerate,1
85,100,55,100,30,41,100,65,38,45,51,64,accelerate,1
82,100,53,100,30,41,100,63,45,45,51,64,accelerate,1
78,100,51,100,30,41,96,60,100,44,51,64,accelerate,1
75,100,49,100,30,41,93,57,100,42,51,64,accelerate,1
73,100,50,100,31,41,93,58,100,43,55,60,accelerate+rotLeft,1
74,100,50,100,30,41,94,59,100,43,60,58,accelerate+rotLeft,1
74,100,50,100,29,41,94,60,100,43,67,55,accelerate+rotLeft,1
70,100,47,100,32,39,89,56,100,40,67,55,accelerate,1
